index;Sexo;Comunidades y Ciudades Autónomas;Periodo;Edad;Total
186;Hombres;01 Andalucía;1990;Todas las edades;3414791.0
187;Hombres;01 Andalucía;1991;95 y más años;0.0
188;Hombres;01 Andalucía;1991;De 1 a 14 años;751826.0
189;Hombres;01 Andalucía;1991;De 15 a 29 años;942942.0
190;Hombres;01 Andalucía;1991;De 30 a 39 años;479833.0
191;Hombres;01 Andalucía;1991;De 40 a 44 años;195734.0
192;Hombres;01 Andalucía;1991;De 45 a 49 años;183314.0
193;Hombres;01 Andalucía;1991;De 50 a 54 años;154086.0
194;Hombres;01 Andalucía;1991;De 55 a 59 años;178240.0
195;Hombres;01 Andalucía;1991;De 60 a 64 años;163915.0
196;Hombres;01 Andalucía;1991;De 65 a 69 años;134812.0
197;Hombres;01 Andalucía;1991;De 70 a 74 años;91727.0
198;Hombres;01 Andalucía;1991;De 75 a 79 años;59987.0
199;Hombres;01 Andalucía;1991;De 80 a 84 años;36738.0
200;Hombres;01 Andalucía;1991;De 85 a 89 años;18691.0
201;Hombres;01 Andalucía;1991;De 90 a 94 años;0.0
202;Hombres;01 Andalucía;1991;Menos de 1 año;45269.0
203;Hombres;01 Andalucía;1991;Todas las edades;3437108.0
204;Hombres;01 Andalucía;1992;95 y más años;0.0
205;Hombres;01 Andalucía;1992;De 1 a 14 años;734437.0
206;Hombres;01 Andalucía;1992;De 15 a 29 años;950824.0
207;Hombres;01 Andalucía;1992;De 30 a 39 años;493356.0
208;Hombres;01 Andalucía;1992;De 40 a 44 años;199822.0
209;Hombres;01 Andalucía;1992;De 45 a 49 años;189931.0
210;Hombres;01 Andalucía;1992;De 50 a 54 años;153689.0
211;Hombres;01 Andalucía;1992;De 55 a 59 años;173044.0
212;Hombres;01 Andalucía;1992;De 60 a 64 años;168736.0
213;Hombres;01 Andalucía;1992;De 65 a 69 años;136511.0
214;Hombres;01 Andalucía;1992;De 70 a 74 años;97830.0
215;Hombres;01 Andalucía;1992;De 75 a 79 años;60390.0
216;Hombres;01 Andalucía;1992;De 80 a 84 años;37633.0
217;Hombres;01 Andalucía;1992;De 85 a 89 años;19752.0
218;Hombres;01 Andalucía;1992;De 90 a 94 años;0.0
219;Hombres;01 Andalucía;1992;Menos de 1 año;45229.0
220;Hombres;01 Andalucía;1992;Todas las edades;3461182.0
221;Hombres;01 Andalucía;1993;95 y más años;0.0
222;Hombres;01 Andalucía;1993;De 1 a 14 años;717141.0
223;Hombres;01 Andalucía;1993;De 15 a 29 años;954850.0
224;Hombres;01 Andalucía;1993;De 30 a 39 años;510055.0
225;Hombres;01 Andalucía;1993;De 40 a 44 años;201159.0
226;Hombres;01 Andalucía;1993;De 45 a 49 años;193238.0
227;Hombres;01 Andalucía;1993;De 50 a 54 años;163562.0
228;Hombres;01 Andalucía;1993;De 55 a 59 años;164025.0
229;Hombres;01 Andalucía;1993;De 60 a 64 años;172172.0
230;Hombres;01 Andalucía;1993;De 65 a 69 años;139406.0
231;Hombres;01 Andalucía;1993;De 70 a 74 años;103695.0
232;Hombres;01 Andalucía;1993;De 75 a 79 años;61025.0
233;Hombres;01 Andalucía;1993;De 80 a 84 años;38232.0
234;Hombres;01 Andalucía;1993;De 85 a 89 años;20750.0
235;Hombres;01 Andalucía;1993;De 90 a 94 años;0.0
236;Hombres;01 Andalucía;1993;Menos de 1 año;44442.0
237;Hombres;01 Andalucía;1993;Todas las edades;3483756.0
238;Hombres;01 Andalucía;1994;95 y más años;0.0
239;Hombres;01 Andalucía;1994;De 1 a 14 años;701164.0
240;Hombres;01 Andalucía;1994;De 15 a 29 años;953207.0
241;Hombres;01 Andalucía;1994;De 30 a 39 años;531309.0
242;Hombres;01 Andalucía;1994;De 40 a 44 años;204020.0
243;Hombres;01 Andalucía;1994;De 45 a 49 años;195608.0
244;Hombres;01 Andalucía;1994;De 50 a 54 años;173069.0
245;Hombres;01 Andalucía;1994;De 55 a 59 años;156735.0
246;Hombres;01 Andalucía;1994;De 60 a 64 años;171937.0
247;Hombres;01 Andalucía;1994;De 65 a 69 años;142957.0
248;Hombres;01 Andalucía;1994;De 70 a 74 años;109103.0
249;Hombres;01 Andalucía;1994;De 75 a 79 años;62214.0
250;Hombres;01 Andalucía;1994;De 80 a 84 años;39039.0
251;Hombres;01 Andalucía;1994;De 85 a 89 años;21712.0
252;Hombres;01 Andalucía;1994;De 90 a 94 años;0.0
253;Hombres;01 Andalucía;1994;Menos de 1 año;41833.0
254;Hombres;01 Andalucía;1994;Todas las edades;3503904.0
255;Hombres;01 Andalucía;1995;95 y más años;0.0
256;Hombres;01 Andalucía;1995;De 1 a 14 años;683494.0
