Causa de muerte,Sexo,Comunidades y Ciudades Autónomas,Edad,Periodo,Total
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,2008,17
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,2007,18
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,2006,17
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,2005,14
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,2004,8
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,2003,9
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,2002,13
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,2001,13
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,2000,12
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,1999,15
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,1998,14
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,1997,11
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,1996,9
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,1995,15
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,1994,28
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,1993,22
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,1992,25
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,1991,23
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,1990,32
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,1989,30
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,1988,35
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,1987,27
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,1986,47
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,1985,48
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,1984,39
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,1983,34
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,1982,49
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,1981,52
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 1 a 14 años,1980,74
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,2023,32
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,2022,25
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,2021,40
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,2020,38
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,2019,21
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,2018,22
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,2017,31
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,2016,23
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,2015,23
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,2014,32
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,2013,32
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,2012,32
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,2011,28
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,2010,35
068-072  XI.Enfermedades del sistema digestivo,Total,Nacional,De 15 a 29 años,2009,34
